,age,gender,prop
30,15,Male,0.0011211337502665853
31,15,Female,0.0009958546765257467
32,16,Male,0.0011211337502665853
33,16,Female,0.0009958546765257467
34,17,Male,0.0011211337502665853
35,17,Female,0.0009958546765257467
36,18,Male,0.0011211337502665853
37,18,Female,0.0009958546765257467
38,19,Male,0.006726802501599511
39,19,Female,0.005975128059154479
40,20,Male,0.0068180239008370684
41,20,Female,0.006257824761251219
42,21,Male,0.0068180239008370684
43,21,Female,0.006257824761251219
44,22,Male,0.007727093754282012
45,22,Female,0.007092201396084716
46,23,Male,0.007727093754282012
47,23,Female,0.007092201396084716
48,24,Male,0.007727093754282012
49,24,Female,0.007092201396084716
50,25,Male,0.007335358865674105
51,25,Female,0.006814139694117204
52,26,Male,0.0087377068841118
53,26,Female,0.008116842870933729
54,27,Male,0.0087377068841118
55,27,Female,0.008116842870933729
56,28,Male,0.0087377068841118
57,28,Female,0.008116842870933729
58,29,Male,0.0087377068841118
59,29,Female,0.008116842870933729
60,30,Male,0.00840595885668052
61,30,Female,0.007983423817627094
62,31,Male,0.00840595885668052
63,31,Female,0.007983423817627094
64,32,Male,0.00840595885668052
65,32,Female,0.007983423817627094
66,33,Male,0.00840595885668052
67,33,Female,0.007983423817627094
68,34,Male,0.00840595885668052
69,34,Female,0.007983423817627094
70,35,Male,0.007892419612197245
71,35,Female,0.007538952203995117
72,36,Male,0.007892419612197245
73,36,Female,0.007538952203995117
74,37,Male,0.007892419612197245
75,37,Female,0.007538952203995117
76,38,Male,0.007892419612197245
77,38,Female,0.007538952203995117
78,39,Male,0.007892419612197245
79,39,Female,0.007538952203995117
80,40,Male,0.008591101063908584
81,40,Female,0.00816958993852007
82,41,Male,0.008591101063908584
83,41,Female,0.00816958993852007
84,42,Male,0.008591101063908584
85,42,Female,0.00816958993852007
86,43,Male,0.008591101063908584
87,43,Female,0.00816958993852007
88,44,Male,0.008591101063908584
89,44,Female,0.00816958993852007
90,45,Male,0.008866720005890633
91,45,Female,0.008532613874261371
92,46,Male,0.009195117043145842
93,46,Female,0.008848636610345125
94,47,Male,0.009195117043145842
95,47,Female,0.008848636610345125
96,48,Male,0.009195117043145842
97,48,Female,0.008848636610345125
98,49,Male,0.009195117043145842
99,49,Female,0.008848636610345125
100,50,Male,0.009474862667474352
101,50,Female,0.009223497034019748
102,51,Male,0.009474862667474352
103,51,Female,0.009223497034019748
104,52,Male,0.009474862667474352
105,52,Female,0.009223497034019748
106,53,Male,0.009474862667474352
107,53,Female,0.009223497034019748
108,54,Male,0.009474862667474352
109,54,Female,0.009223497034019748
110,55,Male,0.00858263050540795
111,55,Female,0.008520432634252326
112,56,Male,0.009706546404925659
113,56,Female,0.009636203574452034
114,57,Male,0.009706546404925659
115,57,Female,0.009636203574452034
116,58,Male,0.009706546404925659
117,58,Female,0.009636203574452034
118,59,Male,0.009706546404925659
119,59,Female,0.009636203574452034
120,60,Male,0.008133494396191376
121,60,Female,0.00839073881865286
122,61,Male,0.008133494396191376
123,61,Female,0.00839073881865286
124,62,Male,0.008133494396191376
125,62,Female,0.00839073881865286
126,63,Male,0.008133494396191376
127,63,Female,0.00839073881865286
128,64,Male,0.008133494396191376
129,64,Female,0.00839073881865286
130,65,Male,0.006348213009639102
131,65,Female,0.006494793931081294
132,66,Male,0.006348213009639102
133,66,Female,0.006494793931081294
134,67,Male,0.006348213009639102
135,67,Female,0.006494793931081294
136,68,Male,0.006348213009639102
137,68,Female,0.006494793931081294
138,69,Male,0.006348213009639102
139,69,Female,0.006494793931081294
140,70,Male,0.0044401136961088215
141,70,Female,0.004789899152142179
142,71,Male,0.0044401136961088215
143,71,Female,0.004789899152142179
144,72,Male,0.0044401136961088215
145,72,Female,0.004789899152142179
146,73,Male,0.0044401136961088215
147,73,Female,0.004789899152142179
148,74,Male,0.0044401136961088215
149,74,Female,0.004789899152142179
150,75,Male,0.0030675005442026434
151,75,Female,0.0038291900344475656
152,76,Male,0.0030675005442026434
153,76,Female,0.0038291900344475656
154,77,Male,0.0030675005442026434
155,77,Female,0.0038291900344475656
156,78,Male,0.0030675005442026434
157,78,Female,0.0038291900344475656
158,79,Male,0.0030675005442026434
159,79,Female,0.0038291900344475656
160,80,Male,0.0023787376097099936
161,80,Female,0.003061350550229522
162,81,Male,0.0023787376097099936
163,81,Female,0.003061350550229522
164,82,Male,0.0023787376097099936
165,82,Female,0.003061350550229522
166,83,Male,0.0023787376097099936
167,83,Female,0.003061350550229522
168,84,Male,0.0023787376097099936
169,84,Female,0.003061350550229522
170,85,Male,0.0017774210392256823
171,85,Female,0.0029076007009015015
172,86,Male,0.0017774210392256823
173,86,Female,0.0029076007009015015
174,87,Male,0.0017774210392256823
175,87,Female,0.0029076007009015015
176,88,Male,0.0017774210392256823
177,88,Female,0.0029076007009015015
178,89,Male,0.0017774210392256823
179,89,Female,0.0029076007009015015
180,90,Male,0.0017774210392256823
181,90,Female,0.0029076007009015015
182,91,Male,0.0017774210392256823
183,91,Female,0.0029076007009015015
184,92,Male,0.0017774210392256823
185,92,Female,0.0029076007009015015
186,93,Male,0.0017774210392256823
187,93,Female,0.0029076007009015015
188,94,Male,0.0017774210392256823
189,94,Female,0.0029076007009015015
190,95,Male,0.0017774210392256823
191,95,Female,0.0029076007009015015