iso_code,total
AFG,1.03
ALB,0.98
DZA,1.03
AND,1.06
AGO,0.95
AIA,0.9
ARG,0.98
ARM,0.95
ABW,0.9
AUS,0.99
AUT,0.96
AZE,0.98
BHS,0.96
BHR,1.53
BGD,0.97
BRB,0.94
BLR,0.87
BEL,0.97
BLZ,1
BEN,0.97
BMU,0.94
BTN,1.08
BOL,0.98
BWA,0.93
BRA,0.97
BGR,0.95
KHM,0.95
CMR,0.99
CAN,0.98
CPV,0.95
CYM,0.95
CAF,0.99
CHL,0.97
CHN,1.06
COL,0.98
COM,0.94
CRI,1
HRV,0.93
CUB,0.99
CUW,0.92
CYP,1.05
DNK,0.99
DJI,0.83
DMA,1.02
DOM,1.02
ECU,0.99
EGY,1.05
SLV,0.92
GNQ,1
EST,0.88
ETH,1
FJI,1.03
FIN,0.97
FRA,0.96
PYF,1.05
GAB,1.08
GMB,0.98
GEO,0.92
DEU,0.96
GHA,0.97
GIB,1.01
GRC,0.95
GRL,1.08
GRD,1.03
GTM,0.99
GIN,1
GUY,1.02
HND,0.95
HKG,0.86
HUN,0.91
ISL,1
IND,1.08
IDN,1
IRN,1.03
IRQ,1.01
IRL,1
ISR,1.01
ITA,0.93
JAM,0.98
JPN,0.94
JOR,1.11
KAZ,0.91
KEN,1
KWT,1.38
KGZ,0.96
LAO,0.99
LVA,0.86
LBN,1
LSO,0.98
LBR,1
LBY,1.05
LIE,0.99
LTU,0.86
LUX,1.02
MDG,1
MWI,0.98
MYS,1.03
MDV,1.13
MLI,0.95
MLT,1.01
MRT,0.93
MUS,0.96
MEX,0.96
MCO,0.94
MNG,0.95
MNE,0.97
MSR,1
MAR,1
MOZ,0.97
MMR,0.97
NAM,0.96
NRU,0.88
NPL,0.96
NLD,0.98
NCL,1
NZL,1
NIC,0.95
NER,0.98
NGA,1.02
MKD,0.99
NOR,1.02
OMN,1.18
PAK,1.04
PAN,1.01
PNG,1.04
PRY,1
PER,0.96
PHL,1.01
POL,0.94
PRT,0.9
QAT,3.39
ROU,0.95
RWA,0.96
LCA,0.95
WSM,1.04
SMR,0.94
SAU,1.3
SEN,0.94
SRB,0.95
SYC,1.07
SLE,0.95
SGP,0.96
SVK,0.94
SVN,1
SLB,1.04
SOM,1.02
ZAF,0.98
SSD,1.06
ESP,0.98
LKA,0.95
SDN,1.01
SUR,1.01
SWE,1
CHE,0.98
SYR,1
TJK,0.99
THA,0.96
TGO,0.98
TON,1.01
TUN,0.99
TUR,1.01
TKM,0.98
TUV,0.98
UGA,0.94
UKR,0.86
ARE,2.56
URY,0.94
UZB,0.99
VEN,0.99
VNM,1.01
YEM,1.02
ZMB,1
ZWE,0.96